"output_freq","GPS_reference","N31","N2_HS","N2_LS","N1_HS","NC1_LS","BW"
649,143077,1,7,6490,11,910490,9
650,195195,1,9,3700,11,909090,9
651,151282,1,11,3906,11,907692,9
652,98452,1,11,6002,11,906302,9
653,150819,1,11,3918,11,904914,9
654,90353,1,10,7194,11,903530,9
655,90215,1,11,6550,11,902150,9
656,169412,1,11,3488,11,900776,9
657,183969,1,11,3212,11,899404,9
658,149673,1,11,3948,11,898038,9
659,119279,1,11,4954,11,896674,9
660,191853,1,11,3080,11,895314,9
661,26293,1,11,22474,11,893962,9
662,178522,1,11,3310,11,892610,9
663,197496,1,11,2992,11,891264,9
664,187352,1,11,3154,11,889922,9
665,136154,1,11,4340,11,888584,9
666,195195,1,10,3330,11,887250,9
667,186760,1,11,3164,11,885920,9
668,171676,1,11,3442,11,884594,9
669,186428,1,9,3874,11,883272,9
670,183740,1,11,3216,11,881952,9
671,146773,1,11,4026,11,880638,9
672,192353,1,8,4224,11,879328,9
673,146337,1,11,4038,11,878022,9
674,187709,1,11,3148,11,876718,9
675,195195,1,10,3330,11,875420,9
676,145687,1,11,4056,11,874122,9
677,145472,1,11,4062,11,872832,9
678,100563,1,11,5876,11,871546,9
679,179935,1,11,3284,11,870260,9
680,199631,1,11,2960,11,868982,9
681,185937,1,11,3178,11,867706,9
682,102517,1,11,5764,11,866434,9
683,68983,1,11,8566,11,865166,9
684,199362,1,11,2964,11,863902,9
685,180155,1,11,3280,11,862640,9
686,172276,1,11,3430,11,861380,9
687,161274,1,11,3664,11,860128,9
688,146192,1,11,4042,11,858878,9
689,107204,1,11,5512,11,857632,9
690,197628,1,11,2990,11,856388,9
691,142525,1,11,4146,11,855150,9
692,142319,1,11,4152,11,853914,9
693,157073,1,11,3762,11,852682,9
694,141909,1,11,4164,11,851454,9
695,163505,1,11,3614,11,850226,9
696,188668,1,11,3132,11,849006,9
697,186878,1,11,3162,11,847788,9
698,169314,1,11,3490,11,846570,9
699,181149,1,11,3262,11,845362,9
700,175865,1,11,3360,11,844152,9
701,84295,1,11,7010,11,842950,9
702,194250,1,11,3042,11,841750,9
703,140092,1,11,4218,11,840552,9
704,197496,1,11,2992,11,839358,9
705,184890,1,11,3196,11,838168,9
706,167396,1,11,3530,11,836980,9
707,112511,1,11,5252,11,835796,9
708,104327,1,11,5664,11,834616,9
709,104180,1,11,5672,11,833440,9
710,138711,1,6,7810,11,832266,9
711,113331,1,11,5214,11,831094,9
712,150896,1,11,3916,11,829928,9
713,147653,1,11,4002,11,828762,9
714,199766,1,11,2958,11,827602,9
715,148395,1,11,3982,11,826446,9
716,192604,1,11,3068,11,825292,9
717,127626,1,11,4630,11,824140,9
718,102874,1,11,5744,11,822992,9
719,102731,1,11,5752,11,821848,9
720,170980,1,11,3456,11,820704,9
721,149144,1,11,3962,11,819568,9
722,169024,1,11,3496,11,818432,9
723,198825,1,11,2972,11,817300,9
724,149144,1,11,3962,11,816172,9
725,135841,1,11,4350,11,815046,9
726,194634,1,11,3036,11,813924,9
727,135467,1,11,4362,11,812802,9
728,175448,1,11,3368,11,811688,9
729,173694,1,11,3402,11,810572,9
730,101183,1,11,5840,11,809464,9
731,186878,1,11,3162,11,808356,9
732,134542,1,11,4392,11,807252,9
733,84295,1,11,7010,11,806150,9
734,47356,1,11,12478,11,805052,9
735,194505,1,11,3038,11,803954,9
736,169024,1,11,3496,11,802864,9
737,100222,1,11,5896,11,801776,9
738,195406,1,11,3024,11,800688,9
739,127847,1,11,4622,11,799606,9
740,199631,1,11,2960,11,798524,9
741,199362,1,11,2964,11,797448,9
742,199093,1,11,2968,11,796372,9
743,198825,1,11,2972,11,795300,9
744,198558,1,11,2976,11,794232,9
745,180265,1,11,3278,11,793166,9
746,132017,1,6,8206,11,792102,9
747,169509,1,11,3486,11,791042,9
748,197496,1,11,2992,11,789984,9
749,78893,1,11,7490,11,788930,9
750,194250,1,11,3042,11,787878,9
